1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015,2017,2019,2021,2022,2023,Country Code,Country Name,Indicator Name,2014,2016,2018,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,59,1,25,56,48,23,,,6,154,80,,,,,,,,,,ABW,Aruba,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFE,Africa Eastern and Southern,"Children out of school, primary",,,,
,,,,,,,,,,,,,,1299403,,,,,,,,,,,,,,,,,,,1432897,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG,Afghanistan,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFW,Africa Western and Central,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,493891,546374,,,,,,,,,,,,,,,958823,,,,,,,,,,456460,514145,510812,550147,,,,,,,,,AGO,Angola,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4356,4107,3630,,4554,2807,,,,434,1055,259,334,405,666,,2720,3377,10049,14839,,ALB,Albania,"Children out of school, primary",,1861,2616,5478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2702,2720,2597,2522,390,345,367,372,322,,AND,Andorra,"Children out of school, primary",373,357,342,427
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARB,Arab World,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,14064,,20741,27217,21700,28723,32924,39014,44032,32535,30375,23465,16053,13283,18186,24837,27707,24759,31646,38826,25982,,,,17624,17752,22609,22492,22242,25744,,46601,39230,30768,12712,6081,,5876,9582,,,,ARE,United Arab Emirates,"Children out of school, primary",,,,4009
,,,,,,,,,,157470,,,,118710,143632,,,,,,,,,,,,109359,,,,163602,,,,,,0,,33025,20886,23214,23310,20691,4898,11985,18925,24025,20935,19872,2754,4888,6069,15848,36786,24868,26727,34663,,,ARG,Argentina,"Children out of school, primary",32547,21844,27507,36021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29419,23115,,17330,14723,10945,,,,9541,8539,3585,525,1383,5465,13300,15608,,ARM,Armenia,"Children out of school, primary",2737,950,1476,8326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASM,American Samoa,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,37,154,320,128,39,312,80,128,23.11300087,,,,ATG,Antigua and Barbuda,"Children out of school, primary",37,110.7600021,84,
,,,,,,,,,,,38629,,59337,60225,21702,15249,2828,1204,8303,18722,22491,30340,34494,49366,48547,42806,39205,33435,31016,28984,32625,37136,42595,44378,81128,77397,84037,79509,80995,88304,8978,6248,26000,20966,10716,9023,4896,5589,5766,6179,52484,45429,971,592,1273,4836,8348,6721,,AUS,Australia,"Children out of school, primary",1480,168,4291,13192
,,,,,,,,,,,49370,49519,52549,53809,52132,52484,,,,,,,,,,,,,42494,,,,,,,,,,4616,7723,6615,7188,7430,5516,5680,6800,5215,4625,4638,4232,6683,6279,4807,4351,4410,4146,3232,5781,,AUT,Austria,"Children out of school, primary",4200,6546,4209,3979
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61173,79138,79899,88738,78125,77428,73286,71283,70361,61748,64067,49999,38511,8544,5980,12166,55687,52916,27450,,AZE,Azerbaijan,"Children out of school, primary",3638,4338,24803,54317
,,,,,,,,,,,,,464441,,,,,546683,,565909,567249,555498,527122,506062,486704,479172,458714,454737,,,,,555931,,,,,,,657185,561696,543236,508520,495144,451823,236534,144111,51343,83269,37607,30742,50097,140041,141303,271114,389499,431613,456804,,BDI,Burundi,"Children out of school, primary",96983,177771,341577,391711
,,,,,,,,,,,,,,,,,24639,,19188,14186,20214,12983,31728,32120,35396,31161,31686,35077,,,35102,37014,11888,10436,8975,8353,,,9437,7831,870,654,873,4279,3938,5449,6624,7844,8792,9272,15271,13766,13387,14170,10963,10858,11848,,,BEL,Belgium,"Children out of school, primary",13738,14994,10723,9921
,,,,,,,,,,,,,,,,,,,,,,,,360193,364217,390081,,422651,435203,528697,,484164,462441,467157,455336,446241,422971,,,,,,234732,198786,255168,222782,,168882,84500,73955,76392,67338,64930,,55316,199011,162954,114877,,BEN,Benin,"Children out of school, primary",60549,55365,108261,216214
,,,,,,,,,,,757486,773573,,,,,856067,871715,887483,901483,915678,926346,942085,959089,971178,987349,1008026,1042877,1079865,,1142714,1173890,1198185,1217074,1228038,,,1266508,1281456,1282009,1286934,1334423,1316332,1302988,1229604,1180721,1090712,976969,930879,1080842,993023,1002411,1014803,1021974,888518,922460,1093912,1240018,,BFA,Burkina Faso,"Children out of school, primary",1023277,886047,848233,1047596
,,,,,,,,,,4946632,,,3090359,,,2707861,3380525,3658071,,,4609856,,5066638,5275212,5559006,5768195,6006236,4684775,4853146,4566339,,,,,,,,,,,,,,,548083,588816,,1437189,1388483,1386843,,,,,407072.1875,,,,,BGD,Bangladesh,"Children out of school, primary",,,72080.72656,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29566,24239,10929,8248,4458,5572,1172,1123,1122,309,412,179,168,2682,2171,3740,6304,7515,8859,16476,26490,36271,,,BGR,Bulgaria,"Children out of school, primary",7280,12289,20117,32728
,,,,,,,,,,,11934,12470,12942,12396,10317,10111,8948,9230,9288,9899,12365,14731,14276,12732,10188,7133,6797,4853,4845,,7826,12415,13184,13498,12274,11688,11650,9378,8050,9701,9291,9375,10060,9252,9006,4170,,,,,6095,2639,232,419,599,2798,,10059,,BHR,Bahrain,"Children out of school, primary",434,445,1882,
,,,,,,,,,,,337,972,2645,2537,1924,1407,709,,,551,,,,465,,,,,,,,3404,3376,2790,,,,,8528,,,,,7480,6005,6802,6095,6498,8113,8886,5540,7504,,,,,,,,BHS,"Bahamas, The","Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21528,21011,20046,21966,21531,20251,15574,,23643,24341,,BIH,Bosnia and Herzegovina,"Children out of school, primary",20901,17677,17135,22307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100911,,,,,,0,9727,8037,12033,11334,8990,7455,5664,5759,5611,5941,14061,18753,18474,18734,26868,28438,28733,,BLR,Belarus,"Children out of school, primary",20231,17666,22244,28372
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,583,788,,571,556,91,218,553,662,839,774,765,253,28,175,104,420,2670,4353,,BLZ,Belize,"Children out of school, primary",237,224,193,255
,,,,,,,,,,,,,,,,,,851,946,,,,,173,117,,,,,,,,,,,,,,,,,,,,,,,,,,67,27,,,,,,,,BMU,Bermuda,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6038,396,1029,3130,3118,5282,8518,7184,6965,6470,3622,19605,58350,93279,135589,147734,155958,125129,84476,58725,47675,,BOL,Bolivia,"Children out of school, primary",155614,145719,101618,71200
,,,,,,,,,,3160431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541291,,,,,,,,,,,,,896213,602121,658888,619485,612571,768294,,,BRA,Brazil,"Children out of school, primary",600337,630849,709047,658477
