Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873452514,1896456983,1961843575,2044111732,2254830726,2360017318,2469782682,2677641341,2843024581,2553793296,2453597207,2637859218,2615208380,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2558906304,3103184102,3544707788,
Africa Eastern and Southern,21216962290,22307471356,23702472100,25779376633,28049537325,30374910060,33049155473,35933757402,38749864977,42964345101,43702318276,47632993913,51627511757,66610917871,81658052383,86883552689,88290755581,98868135190,110802000000,129781000000,168165000000,177750000000,169303000000,179898000000,166208000000,143250000000,154793000000,185812000000,202093000000,214473000000,251212000000,273543000000,239433000000,240271000000,243565000000,273433000000,272519000000,288405000000,268834000000,265429000000,287202000000,260992000000,267815000000,355716000000,442696000000,516661000000,580241000000,665599000000,713502000000,715485000000,849410000000,945439000000,952676000000,963347000000,979690000000,899296000000,829830000000,940105000000,1012720000000,1006530000000,929074000000,1086770000000,1183960000000,1236160000000
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3521418060,2813571754,3825701439,4520946819,5224896719,6203256539,6971758282,9747886187,10109297048,12416152732,15856668556,17805098206,19907329778,20146416758,20497128556,19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14266499430,14502158192,
Africa Western and Central,11884128412,12685662255,13606829297,14439975114,15769107620,16934480010,18048039302,16495768073,17022696447,19301308227,26697107728,24507115745,29493915342,36902672687,49688193509,57280847234,68386320009,71790695540,78779099935,96682239143,120501000000,216911000000,195918000000,151223000000,131218000000,137803000000,109237000000,112295000000,111227000000,103934000000,123711000000,129942000000,124599000000,129733000000,134777000000,207177000000,262601000000,275742000000,296152000000,139468000000,142140000000,149452000000,178692000000,206982000000,256101000000,312409000000,397089000000,465684000000,567938000000,508553000000,598698000000,682233000000,737800000000,834161000000,894585000000,769367000000,692181000000,685750000000,768190000000,823934000000,787147000000,845993000000,877141000000,796586000000
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5880000000,4432026144,5538657322,6535458385,7675423799,6506387247,6152923310,9129594970,8936079118,15285592370,17812704586,23552057679,36970900884,52381025141,65266415494,88538665085,70307196182,83799474070,111790000000,128053000000,132339000000,135967000000,90496420507,52761617226,73690154991,79450688259,70897962732,48501561204,66505129988,104400000000,84722957642
Albania,,,,,,,,,,,,,,,,,,,,,,,,,1857337995,1897050117,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880950864,2392764853,3199640815,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052077248,8896075005,10677324853,12881352894,12044205550,11926926616,12890760315,12319834195,12776224497,13228147516,11386853113,11861199831,13019726212,15156424015,15401826127,15162734205,17930565119,18916378861,22977677861
Andorra,,,,,,,,,,,78617711.1,89406608.15,113414397.4,150841639.3,186557082,220112572.2,227283850.8,253997897.2,308020261.2,411548748.4,446377776.8,388983266.2,375914743.6,327850042.5,330073080.6,346742714.7,481996012.9,611299924.5,721425939.2,795489582,1028989692,1106891362,1209992020,1007090270,1017544069,1178745283,1224024139,1180645572,1211953994,1240295103,1432606189,1548265808,1764279824,2366941809,2900245324,3161084091,3459337986,3957625367,4102319399,3688976341,3449925739,3629133574,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3324683012,3380602043,3727673593
Arab World,,,,,,26772088212,28352060773,30601967881,34974202380,38564894020,43095586227,49931740625,59972469492,79132917459,152202000000,168174000000,210012000000,242292000000,265428000000,358141000000,486441000000,494949000000,463117000000,437503000000,440214000000,432900000000,405502000000,431289000000,429414000000,457402000000,640091000000,466374000000,466063000000,477190000000,498084000000,526561000000,568785000000,612395000000,596742000000,663176000000,760660000000,741975000000,743726000000,826976000000,983701000000,1205600000000,1434110000000,1668430000000,2109170000000,1822780000000,2154250000000,2559860000000,2793780000000,2857870000000,2905080000000,2544140000000,2499970000000,2571050000000,2865540000000,2898670000000,2576550000000,2969120000000,3613680000000,3491520000000
United Arab Emirates,,,,,,,,,,,685986701.3,939893599.6,1415086929,4231243616,11651505690,14720728249,19213158779,24871775165,23775764225,31225659621,43599160050,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,104337000000,103312000000,109816000000,124346000000,147824000000,180617000000,222117000000,257916000000,315475000000,253547000000,300189000000,360833000000,384610000000,400219000000,414105000000,370275000000,369255000000,390517000000,427049000000,417990000000,349473000000,415179000000,507064000000,504173000000
Argentina,,,,,,,,,,,,,,,,,,,,,,,,109490000000,112989000000,88416666667,106214000000,109029000000,126928000000,76629657864,141353000000,189720000000,228779000000,236742000000,257440000000,258032000000,272150000000,292859000000,298948000000,283523000000,284204000000,268697000000,97724004252,127587000000,164658000000,198737000000,232557000000,287531000000,361558000000,332976000000,423627000000,530158000000,545982000000,552025000000,526320000000,594749000000,557532000000,643628000000,524820000000,447755000000,385741000000,487903000000,631133000000,640591000000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256863449,2069870130,1272835453,1201312829,1315158637,1468317435,1596968946,1639492445,1893726437,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469511,6384452067,9206301270,11662040714,8647937081,9260285756,10142111825,10619320683,11121464437,11609513247,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583,13878908629,19513474648,24212134631
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,
