"DID #","Survey","First Generation Status","Gender","Transfer Student","Upper v Lower","Race/Ethnicity","Class Level","J_total","T_total","Major","STEM"
1,"Pre","Yes","Man","No","L","Asian","Sophomore",87,47,"Nursing","Non-STEM"
2,"Pre","Yes","Man","Yes","L","Hispanic/Latino","Senior",71,42,"Public Health","Non-STEM"
3,"Pre","No","Woman","Yes","U","Asian","Junior",80,50,"Biological Sciences","STEM"
4,"Pre","No","Woman","Yes","U","Hispanic/Latino","Senior",86,49,"Biological Sciences","STEM"
5,"Pre","Yes","Man","Yes","L","Hispanic/Latino","Senior",86,55,"Biological Sciences","STEM"
6,"Pre","No","Woman","Yes","U","Asian","Senior",82,43,"Biological Sciences","STEM"
7,"Pre","Yes","Woman","No","L","Hispanic/Latino","Sophomore",87,48,"Nursing","Non-STEM"
8,"Pre","No","Woman","No","L","Asian","Freshmen",72,52,"Nursing","Non-STEM"
9,"Pre","No","Woman","No","L","Asian","Sophomore",71,40,"Nursing","Non-STEM"
10,"Pre","Yes","Woman","No","L","Hispanic/Latino","Junior",59,39,"Health Sciences","Non-STEM"
11,"Pre","No","Woman","Yes","U","Hispanic/Latino","Senior",80,50,"Biological Sciences","STEM"
12,"Pre","No","Woman","Yes","U","Pacific Islander","Senior",67,42,"Biological Sciences","STEM"
13,"Pre","No","Woman","Yes","U","Hispanic/Latino","Senior",68,45,"Biological Sciences","STEM"
14,"Pre","No","Woman","Yes","U","Asian","Junior",86,55,"Nutrition","Non-STEM"
15,"Pre","No","Woman","No","L","Two or More","Senior",83,48,"Biological Sciences","STEM"
16,"Pre","No","Woman","No","L","Hispanic/Latino","Junior",81,50,"Nursing","Non-STEM"
17,"Pre","No","Man","No","U","Asian","Senior",59,32,"Biological Sciences","STEM"
18,"Pre","No","Woman","No","L","African American","Sophomore",80,55,"Nursing","Non-STEM"
19,"Pre","Yes","Woman","Yes","U","Hispanic/Latino","Senior",78,55,"Biological Sciences","STEM"
20,"Pre","Yes","Woman","Yes","U","Hispanic/Latino","Senior",75,44,"Kinesiology","Non-STEM"
21,"Pre","No","Woman","No","L","Asian","Junior",71,57,"Biological Sciences","STEM"
22,"Pre","Yes","Woman","Yes","L","African American","Senior",91,55,"Health Sciences","Non-STEM"
23,"Pre","No","Woman","Yes","L","White","Senior",73,50,"Undeclared","Non-STEM"
24,"Pre","No","Woman","No","L","White","Senior",75,47,"Nursing","Non-STEM"
25,"Pre","No","Woman","No","L","Asian","Junior",84,43,"Biological Sciences","STEM"
26,"Pre","No","Woman","No","L","Hispanic/Latino","Junior",72,53,"Biological Sciences","STEM"
27,"Pre","Yes","Woman","No","L","Hispanic/Latino","Junior",81,49,"Undeclared","Non-STEM"
28,"Pre","Yes","Woman","No","L","Hispanic/Latino","Sophomore",72,48,"Nursing","Non-STEM"
29,"Pre","No","Woman","No","L","Hispanic/Latino","Sophomore",82,49,"Nursing","Non-STEM"
30,"Pre","No","Woman","No","U","Asian","Senior",68,41,"Health Sciences","Non-STEM"
31,"Pre","No","Woman","No","U","White","Junior",81,52,"Biological Sciences","STEM"
32,"Pre","Yes","Woman","No","U","Asian","Senior",70,49,"Biological Sciences","STEM"
33,"Pre","Yes","Woman","No","L","Hispanic/Latino","Junior",75,52,"Nursing","Non-STEM"
34,"Pre","No","Man","No","U","White","Junior",66,45,"Kinesiology","Non-STEM"
35,"Pre","No","Woman","No","U","Hispanic/Latino","Junior",86,52,"Health Sciences","Non-STEM"
36,"Pre","No","Man","Yes","L",NA,"Senior",67,49,"Biological Sciences","STEM"
37,"Pre","No","Woman","Yes","U","White","Senior",82,45,"Nutrition","Non-STEM"
38,"Pre","No","Woman","No","L","Asian","Junior",80,49,"Nursing","Non-STEM"
39,"Pre","Yes","Woman","No","L","Hispanic/Latino","Sophomore",76,44,"Nursing","Non-STEM"
41,"Pre","No","Woman","No","U","Hispanic/Latino","Senior",71,36,"Health Sciences","Non-STEM"
42,"Pre","No","Woman","Yes","U","White","Senior",87,54,"Biological Sciences","STEM"
44,"Pre","No","Woman","No","L","White","Senior",74,50,"Biological Sciences","STEM"
